Day	Susceptible	Exposed	Infectious	Recovered	Dead
1	9990	10	0	0	0
2	9990	10	0	0	0
3	9990	10	0	0	0
4	9990	10	0	0	0
5	9990	10	0	0	0
6	9990	0	10	0	0
7	9987	3	10	0	0
8	9982	8	10	0	0
9	9977	13	10	0	0
10	9974	16	10	0	0
11	9973	14	13	0	0
12	9971	11	18	0	0
13	9966	11	13	10	0
14	9964	10	16	10	0
15	9962	11	17	10	0
16	9957	14	19	10	0
17	9952	14	24	10	0
18	9945	19	23	13	0
19	9935	27	20	18	0
20	9927	30	20	23	0
21	9922	30	22	26	0
22	9917	28	28	27	0
23	9910	25	36	29	0
24	9896	31	39	34	0
25	9879	43	42	36	0
26	9860	57	45	38	0
27	9842	68	47	43	0
28	9828	68	56	48	0
29	9809	70	66	55	0
30	9786	74	75	65	0
31	9763	79	85	73	0
32	9749	79	94	78	0
33	9730	79	108	83	0
34	9704	82	124	90	0
35	9676	87	133	104	0
36	9641	108	130	120	1
37	9590	140	130	138	2
38	9550	154	138	156	2
39	9509	167	152	168	4
40	9471	170	168	187	4
41	9421	169	196	210	4
42	9358	192	213	233	4
43	9297	212	240	247	4
44	9219	252	259	266	4
45	9144	277	283	291	5
46	9047	311	318	318	6
47	8971	326	344	353	6
48	8885	334	371	403	7
49	8777	367	406	443	7
50	8676	371	462	484	7
51	8564	407	500	521	8
52	8404	481	536	569	10
53	8255	522	581	631	11
54	8113	563	621	691	12
55	7967	597	655	769	12
56	7807	597	740	841	15
57	7648	607	792	936	17
58	7459	654	858	1010	19
59	7262	705	918	1094	21
60	7088	719	970	1199	24
61	6900	748	1028	1299	25
62	6657	802	1105	1410	26
63	6436	826	1142	1566	30
64	6220	868	1167	1715	30
65	6023	877	1213	1857	30
66	5798	859	1310	2003	30
67	5585	851	1371	2163	30
68	5352	868	1428	2321	31
69	5137	886	1436	2507	34
70	4927	871	1464	2702	36
71	4733	852	1503	2873	39
72	4531	821	1548	3060	40
73	4314	823	1520	3300	43
74	4130	797	1509	3515	49
75	3931	802	1487	3729	51
76	3780	751	1492	3924	53
77	3597	717	1484	4148	54
78	3425	705	1455	4360	55
79	3269	662	1421	4592	56
80	3128	652	1357	4806	57
81	2997	600	1330	5015	58
82	2883	542	1308	5206	61
83	2764	505	1262	5406	63
84	2667	461	1186	5620	66
85	2579	418	1133	5803	67
86	2472	411	1048	6000	69
87	2389	375	1016	6151	69
88	2326	341	930	6332	71
89	2252	327	846	6501	74
90	2196	276	797	6654	77
91	2135	254	739	6795	77
92	2086	240	671	6926	77
93	2040	212	631	7040	77
94	1996	200	568	7156	80
95	1959	176	532	7252	81
96	1920	166	493	7340	81
97	1897	143	432	7447	81
98	1867	129	393	7529	82
99	1850	109	367	7591	83
100	1823	97	332	7663	85
101	1809	88	299	7718	86
102	1791	76	268	7778	87
103	1773	77	236	7827	87
104	1765	58	217	7873	87
105	1753	56	187	7916	88
106	1742	49	168	7953	88
107	1735	38	147	7992	88
108	1730	35	132	8015	88
109	1720	33	114	8045	88
110	1715	27	108	8062	88
111	1712	23	88	8089	88
112	1707	23	79	8103	88
113	1701	19	71	8121	88
114	1699	16	58	8139	88
115	1695	17	53	8147	88
116	1693	14	46	8159	88
117	1692	9	41	8170	88
118	1689	10	36	8177	88
119	1687	8	35	8182	88
120	1686	7	27	8192	88
121	1686	6	23	8197	88
122	1686	3	23	8200	88
123	1686	1	20	8204	89
124	1685	1	15	8210	89
125	1684	2	13	8212	89
126	1682	4	9	8216	89
127	1682	4	7	8218	89
128	1682	3	7	8219	89
129	1682	2	5	8222	89
130	1682	0	5	8224	89
131	1682	0	4	8225	89
132	1682	0	4	8225	89
133	1682	0	4	8225	89
134	1682	0	4	8225	89
135	1682	0	3	8226	89
136	1682	0	2	8227	89
137	1682	0	0	8229	89
138	1682	0	0	8229	89
139	1682	0	0	8229	89
140	1682	0	0	8229	89
141	1682	0	0	8229	89
142	1682	0	0	8229	89
143	1682	0	0	8229	89
144	1682	0	0	8229	89
145	1682	0	0	8229	89
146	1682	0	0	8229	89
147	1682	0	0	8229	89
148	1682	0	0	8229	89
149	1682	0	0	8229	89
150	1682	0	0	8229	89
151	1682	0	0	8229	89
152	1682	0	0	8229	89
153	1682	0	0	8229	89
154	1682	0	0	8229	89
155	1682	0	0	8229	89
156	1682	0	0	8229	89
157	1682	0	0	8229	89
158	1682	0	0	8229	89
159	1682	0	0	8229	89
160	1682	0	0	8229	89
161	1682	0	0	8229	89
162	1682	0	0	8229	89
163	1682	0	0	8229	89
164	1682	0	0	8229	89
165	1682	0	0	8229	89
166	1682	0	0	8229	89
167	1682	0	0	8229	89
168	1682	0	0	8229	89
169	1682	0	0	8229	89
170	1682	0	0	8229	89
171	1682	0	0	8229	89
172	1682	0	0	8229	89
173	1682	0	0	8229	89
174	1682	0	0	8229	89
175	1682	0	0	8229	89
176	1682	0	0	8229	89
177	1682	0	0	8229	89
178	1682	0	0	8229	89
179	1682	0	0	8229	89
180	1682	0	0	8229	89
