Day,Susceptible,Exposed,Infectious,Recovered,Dead
1,9990,10,0,0,0
2,9990,10,0,0,0
3,9990,10,0,0,0
4,9990,10,0,0,0
5,9990,10,0,0,0
6,9990,0,10,0,0
7,9986,4,10,0,0
8,9980,10,10,0,0
9,9977,13,10,0,0
10,9971,19,10,0,0
11,9969,17,14,0,0
12,9965,15,20,0,0
13,9954,23,13,10,0
14,9949,22,19,10,0
15,9944,25,21,10,0
16,9939,26,25,10,0
17,9930,24,36,10,0
18,9923,26,37,14,0
19,9910,34,36,20,0
20,9899,40,38,23,0
21,9889,41,41,29,0
22,9875,48,46,31,0
23,9859,51,55,35,0
24,9840,59,55,46,0
25,9822,67,60,51,0
26,9807,68,69,56,0
27,9784,75,80,61,0
28,9756,84,90,69,1
29,9729,93,101,76,1
30,9700,107,103,89,1
31,9670,114,115,100,1
32,9643,113,133,110,1
33,9608,121,146,124,1
34,9566,134,159,140,1
35,9532,138,170,159,1
36,9485,158,179,177,1
37,9432,176,199,192,1
38,9373,193,218,215,1
39,9305,227,224,243,1
40,9234,251,244,270,1
41,9170,262,268,299,1
42,9107,266,297,329,1
43,9017,288,338,356,1
44,8923,311,374,391,1
45,8817,353,396,433,1
46,8702,405,425,467,1
47,8575,442,468,514,1
48,8437,486,509,567,1
49,8304,513,556,626,1
50,8179,523,603,693,2
51,8045,530,659,764,2
52,7857,580,733,827,3
53,7693,611,803,889,4
54,7520,659,838,979,4
55,7341,704,878,1073,4
56,7143,714,960,1176,7
57,6944,749,1009,1291,7
58,6745,775,1055,1417,8
59,6526,815,1096,1554,9
60,6307,836,1161,1683,13
61,6079,865,1235,1806,15
62,5828,917,1300,1940,15
63,5593,933,1331,2127,16
64,5364,943,1386,2291,16
65,5154,925,1441,2461,19
66,4919,909,1513,2639,20
67,4705,888,1550,2836,21
68,4469,895,1580,3034,22
69,4270,884,1591,3229,26
70,4068,851,1607,3447,27
71,3890,815,1602,3666,27
72,3689,780,1610,3894,27
73,3503,767,1558,4141,31
74,3370,698,1525,4374,33
75,3230,660,1474,4600,36
76,3096,593,1465,4809,37
77,2954,549,1416,5041,40
78,2814,556,1335,5251,44
79,2706,524,1239,5485,46
80,2625,471,1174,5683,47
81,2534,420,1114,5884,48
82,2456,358,1076,6062,48
83,2364,342,983,6261,50
84,2302,323,878,6447,50
85,2244,290,836,6578,52
86,2194,262,774,6715,55
87,2153,211,732,6848,56
88,2114,188,652,6990,56
89,2071,173,570,7128,58
90,2034,160,512,7234,60
91,1994,159,472,7312,63
92,1971,143,420,7402,64
93,1950,121,385,7479,65
94,1928,106,330,7568,68
95,1905,89,308,7630,68
96,1887,84,273,7686,70
97,1872,78,244,7736,70
98,1860,68,225,7777,70
99,1851,54,209,7816,70
100,1841,46,184,7859,70
101,1832,40,162,7896,70
102,1825,35,134,7935,71
103,1819,32,120,7958,71
104,1810,31,109,7978,72
105,1804,28,96,8000,72
106,1800,25,80,8023,72
107,1792,27,68,8041,72
108,1789,21,62,8056,72
109,1784,20,56,8068,72
110,1781,19,51,8077,72
111,1778,14,49,8087,72
112,1776,13,43,8096,72
113,1775,9,41,8103,72
114,1772,9,38,8109,72
115,1770,8,32,8118,72
116,1770,6,28,8124,72
117,1768,7,25,8128,72
118,1765,7,20,8136,72
119,1764,6,19,8139,72
120,1764,6,14,8144,72
121,1764,4,13,8147,72
122,1763,2,13,8150,72
123,1761,3,12,8152,72
124,1761,3,11,8153,72
125,1760,4,8,8156,72
126,1760,3,7,8158,72
127,1760,1,9,8158,72
128,1760,1,7,8160,72
129,1759,1,5,8163,72
130,1759,1,4,8164,72
131,1759,1,4,8164,72
132,1757,3,4,8164,72
133,1757,2,4,8165,72
134,1756,3,2,8167,72
135,1756,3,2,8167,72
136,1756,1,3,8168,72
137,1756,1,3,8168,72
138,1756,0,4,8168,72
139,1756,0,4,8168,72
140,1756,0,3,8169,72
141,1756,0,3,8169,72
142,1756,0,3,8169,72
143,1756,0,1,8171,72
144,1754,2,1,8171,72
145,1754,2,0,8172,72
146,1754,2,0,8172,72
147,1754,2,0,8172,72
148,1754,0,2,8172,72
149,1754,0,2,8172,72
150,1754,0,2,8172,72
151,1754,0,2,8172,72
152,1754,0,2,8172,72
153,1754,0,2,8172,72
154,1754,0,2,8172,72
155,1754,0,0,8174,72
156,1754,0,0,8174,72
157,1754,0,0,8174,72
158,1754,0,0,8174,72
159,1754,0,0,8174,72
160,1754,0,0,8174,72
161,1754,0,0,8174,72
162,1754,0,0,8174,72
163,1754,0,0,8174,72
164,1754,0,0,8174,72
165,1754,0,0,8174,72
166,1754,0,0,8174,72
167,1754,0,0,8174,72
168,1754,0,0,8174,72
169,1754,0,0,8174,72
170,1754,0,0,8174,72
171,1754,0,0,8174,72
172,1754,0,0,8174,72
173,1754,0,0,8174,72
174,1754,0,0,8174,72
175,1754,0,0,8174,72
176,1754,0,0,8174,72
177,1754,0,0,8174,72
178,1754,0,0,8174,72
179,1754,0,0,8174,72
180,1754,0,0,8174,72
